Time,t,structuralLive,structuralRotation,sessiond,relayd
2025-07-01 10:38:18,582,0.4435397,0,0.0035712,0.5856725
2025-07-01 10:38:19,583,0.4442857,0,0.0035714,0.5857143
2025-07-01 10:38:20,584,0.4435714,0,0.0035714,0.5857143
2025-07-01 10:38:21,585,0.4443175,0,0.0035717,0.5857561
2025-07-01 10:38:22,586,0.4435714,0,0.0035714,0.5857143
2025-07-01 10:38:23,587,0.4442857,0,0.0042857,0.5857143
2025-07-01 10:38:24,588,0.4435714,0,0.0042857,0.5857143
2025-07-01 10:38:25,589,0.4435714,0,0.0042857,0.5864286
2025-07-01 10:38:26,590,0.4442857,0,0.0028571,0.5857143
2025-07-01 10:38:27,591,0.4442857,0,0.0035714,0.5857143
2025-07-01 10:38:28,592,0.4442857,0,0.0042857,0.5857143
2025-07-01 10:38:29,593,0.4435397,0,0.0042854,0.5856725
2025-07-01 10:38:30,594,0.4443175,0,0.004286,0.5864705
2025-07-01 10:38:31,595,0.4442857,0,0.0042857,0.5864286
2025-07-01 10:38:32,596,0.4442857,0,0.005,0.5857143
2025-07-01 10:38:33,597,0.4435397,0,0.0057139,0.5856725
2025-07-01 10:38:34,598,0.4435397,0,0.0057139,0.5856725
2025-07-01 10:38:35,599,0.4428571,0,0.005,0.5857143
2025-07-01 10:38:36,600,0.4435714,0,0.0042857,0.5857143
2025-07-01 10:38:37,601,0.4428571,0,0.0042857,0.5857143
2025-07-01 10:38:38,602,0.4435714,0,0.005,0.5857143
2025-07-01 10:38:39,603,0.4435714,0,0.0057143,0.585
2025-07-01 10:38:40,604,0.4428888,0,0.006429,0.5857561
2025-07-01 10:38:41,605,0.4435714,0,0.0057143,0.585
2025-07-01 10:38:42,606,0.4428571,0,0.005,0.5857143
2025-07-01 10:38:43,607,0.4436031,0,0.0050004,0.5857561
2025-07-01 10:38:44,608,0.4435714,0,0.005,0.585
2025-07-01 10:38:45,609,0.4428571,0,0.0064286,0.585
2025-07-01 10:38:46,610,0.4436031,0,0.006429,0.5850418
2025-07-01 10:38:47,611,0.4435714,0,0.0064286,0.585
2025-07-01 10:38:48,612,0.4443175,0,0.006429,0.5850418
2025-07-01 10:38:49,613,0.4435714,0,0.0064286,0.5857143
2025-07-01 10:38:50,614,0.4435714,0,0.0064286,0.585
2025-07-01 10:38:51,615,0.4435714,0,0.0057143,0.5857143
2025-07-01 10:38:52,616,0.4435714,0,0.0057143,0.585
2025-07-01 10:38:53,617,0.4435714,0,0.0057143,0.5857143
2025-07-01 10:38:54,618,0.4435714,0,0.005,0.585
2025-07-01 10:38:55,619,0.4428255,0,0.0049996,0.5856725
2025-07-01 10:38:56,620,0.4435714,0,0.005,0.5857143
2025-07-01 10:38:57,621,0.4428571,0,0.005,0.5857143
2025-07-01 10:38:58,622,0.4435714,0,0.0057143,0.5857143
2025-07-01 10:38:59,623,0.4435714,0,0.0042857,0.5857143
2025-07-01 10:39:00,624,0.4428571,0,0.0035714,0.5857143
2025-07-01 10:39:01,625,0.4436031,0,0.0028573,0.5864705
2025-07-01 10:39:02,626,0.4428571,0,0.0028571,0.5857143
2025-07-01 10:39:03,627,0.4435397,0,0.0028569,0.5849582
2025-07-01 10:39:04,628,0.4435714,0,0.005,0.5857143
2025-07-01 10:39:05,629,0.4435714,0,0.005,0.5857143
